127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650430428 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "PUT /com.AppHub.jersy/rest/PlatformService/update HTTP/1.1" 200 71
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650430317 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "GET /com.AppHub.jersy/rest/PlatformService/-650430206 HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650430206 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/f3da4dec-65bc-4f3a-9a72-7c43e65fd301 HTTP/1.1" 201 59
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650430106 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "GET /com.AppHub.jersy/rest/AppService/5ce0225e-6182-4636-8af4-dacc157a97c6 HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/5ce0225e-6182-4636-8af4-dacc157a97c6 HTTP/1.1" 201 59
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650429951 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/25521c9d-02af-4f52-bc32-71057ae10572 HTTP/1.1" 201 59
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650429823 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:37 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "PUT /com.AppHub.jersy/rest/AppService/update HTTP/1.1" 200 305
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/99c7e46d-21bb-4dcb-94bf-c2741d32dfee HTTP/1.1" 201 59
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650429707 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "POST /com.AppHub.jersy/rest/UserService/create HTTP/1.1" 200 115
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "PUT /com.AppHub.jersy/rest/UserService/update HTTP/1.1" 200 126
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "DELETE /com.AppHub.jersy/rest/UserService/remove/testUser HTTP/1.1" 201 32
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "GET /com.AppHub.jersy/rest/UserService/root HTTP/1.1" 200 124
127.0.0.1 - - [22/Nov/2014:15:39:38 -0500] "POST /com.AppHub.jersy/rest/UserService/create HTTP/1.1" 200 115
